,Show,Season,Rating
2191,30 Rock,4,7.8
2192,30 Rock,4,7.8
2193,30 Rock,4,7.8
2194,30 Rock,4,8.0
2195,30 Rock,4,8.0
2196,30 Rock,4,7.8
2197,30 Rock,4,8.3
2198,30 Rock,4,8.1
2199,30 Rock,4,8.4
2200,30 Rock,4,8.0
2201,30 Rock,4,7.5
2202,30 Rock,4,7.7
2203,30 Rock,4,8.6
2204,30 Rock,4,7.9
2205,30 Rock,4,8.0
2206,30 Rock,4,7.9
2207,30 Rock,4,8.0
2208,30 Rock,4,7.6
2209,30 Rock,4,7.7
2210,30 Rock,4,7.8
2211,30 Rock,4,8.2
2212,30 Rock,4,8.6
2213,30 Rock,5,8.0
2214,30 Rock,5,8.3
2215,30 Rock,5,7.8
2216,30 Rock,5,8.6
2217,30 Rock,5,8.1
2218,30 Rock,5,7.9
2219,30 Rock,5,8.0
2220,30 Rock,5,7.9
2221,30 Rock,5,7.7
2222,30 Rock,5,8.0
2223,30 Rock,5,8.3
2224,30 Rock,5,8.4
2225,30 Rock,5,8.0
2226,30 Rock,5,8.4
2227,30 Rock,5,8.2
2228,30 Rock,5,8.3
2229,30 Rock,5,7.6
2230,30 Rock,5,7.9
2231,30 Rock,5,7.7
2232,30 Rock,5,8.1
2233,30 Rock,5,8.5
2234,30 Rock,5,8.0
2235,30 Rock,5,7.7
2236,30 Rock,6,8.0
2237,30 Rock,6,7.9
2238,30 Rock,6,8.0
2239,30 Rock,6,7.8
2240,30 Rock,6,7.9
2241,30 Rock,6,7.9
2242,30 Rock,6,8.0
2243,30 Rock,6,8.5
2244,30 Rock,6,8.1
2245,30 Rock,6,7.7
2246,30 Rock,6,8.1
2247,30 Rock,6,7.7
2248,30 Rock,6,7.6
2249,30 Rock,6,8.4
2250,30 Rock,6,7.6
2251,30 Rock,6,7.6
2252,30 Rock,6,7.6
2253,30 Rock,6,7.8
2254,30 Rock,6,8.7
2255,30 Rock,6,7.4
2256,30 Rock,6,7.8
2257,30 Rock,6,8.0
2258,30 Rock,7,7.7
2259,30 Rock,7,7.7
2260,30 Rock,7,7.9
2261,30 Rock,7,7.9
2262,30 Rock,7,7.6
2263,30 Rock,7,7.6
2264,30 Rock,7,8.3
2265,30 Rock,7,8.1
2266,30 Rock,7,8.4
2267,30 Rock,7,8.0
2268,30 Rock,7,8.4
2269,30 Rock,7,9.1
2270,Everybody Loves Raymond,1,7.4
2271,Everybody Loves Raymond,1,7.4
2272,Everybody Loves Raymond,1,7.2
2273,Everybody Loves Raymond,1,7.9
2274,Everybody Loves Raymond,1,7.6
2275,Everybody Loves Raymond,1,6.9
2276,Everybody Loves Raymond,1,7.5
2277,Everybody Loves Raymond,1,7.4
2278,Everybody Loves Raymond,1,7.1
2279,Everybody Loves Raymond,1,7.6
2280,Everybody Loves Raymond,1,6.8
2281,Everybody Loves Raymond,1,7.5
2282,Everybody Loves Raymond,1,7.2
2283,Everybody Loves Raymond,1,7.4
2284,Everybody Loves Raymond,1,7.4
2285,Everybody Loves Raymond,1,7.6
2286,Everybody Loves Raymond,1,8.0
2287,Everybody Loves Raymond,1,7.2
2288,Everybody Loves Raymond,1,7.6
2289,Everybody Loves Raymond,1,7.4
2290,Everybody Loves Raymond,1,7.5
2291,Everybody Loves Raymond,1,7.9
2292,Everybody Loves Raymond,2,7.5
2293,Everybody Loves Raymond,2,7.3
2294,Everybody Loves Raymond,2,7.4
2295,Everybody Loves Raymond,2,7.3
2296,Everybody Loves Raymond,2,7.2
2297,Everybody Loves Raymond,2,7.6
2298,Everybody Loves Raymond,2,7.4
2299,Everybody Loves Raymond,2,6.9
2300,Everybody Loves Raymond,2,7.7
2301,Everybody Loves Raymond,2,7.4
2302,Everybody Loves Raymond,2,8.2
2303,Everybody Loves Raymond,2,7.9
2304,Everybody Loves Raymond,2,7.3
2305,Everybody Loves Raymond,2,7.7
2306,Everybody Loves Raymond,2,8.2
2307,Everybody Loves Raymond,2,8.0
2308,Everybody Loves Raymond,2,8.2
2309,Everybody Loves Raymond,2,7.5
2310,Everybody Loves Raymond,2,8.2
2311,Everybody Loves Raymond,2,7.8
2312,Everybody Loves Raymond,2,8.1
2313,Everybody Loves Raymond,2,7.4
2314,Everybody Loves Raymond,2,7.4
2315,Everybody Loves Raymond,2,7.8
2316,Everybody Loves Raymond,2,8.0
2317,Everybody Loves Raymond,3,8.3
2318,Everybody Loves Raymond,3,7.8
2319,Everybody Loves Raymond,3,7.5
2320,Everybody Loves Raymond,3,7.7
2321,Everybody Loves Raymond,3,7.3
2322,Everybody Loves Raymond,3,8.1
2323,Everybody Loves Raymond,3,7.9
2324,Everybody Loves Raymond,3,6.9
2325,Everybody Loves Raymond,3,8.0
2326,Everybody Loves Raymond,3,8.1
2327,Everybody Loves Raymond,3,8.2
2328,Everybody Loves Raymond,3,8.1
2329,Everybody Loves Raymond,3,7.7
2330,Everybody Loves Raymond,3,7.6
2331,Everybody Loves Raymond,3,7.9
2332,Everybody Loves Raymond,3,7.8
2333,Everybody Loves Raymond,3,7.2
2334,Everybody Loves Raymond,3,8.0
2335,Everybody Loves Raymond,3,7.2
2336,Everybody Loves Raymond,3,7.5
2337,Everybody Loves Raymond,3,6.9
2338,Everybody Loves Raymond,3,7.0
2339,Everybody Loves Raymond,3,7.4
2340,Everybody Loves Raymond,3,7.6
2341,Everybody Loves Raymond,3,8.3
2342,Everybody Loves Raymond,3,8.4
2343,Everybody Loves Raymond,4,8.0
2344,Everybody Loves Raymond,4,8.0
2345,Everybody Loves Raymond,4,7.0
2346,Everybody Loves Raymond,4,8.2
2347,Everybody Loves Raymond,4,7.3
2348,Everybody Loves Raymond,4,7.4
2349,Everybody Loves Raymond,4,7.9
2350,Everybody Loves Raymond,4,8.2
2351,Everybody Loves Raymond,4,7.6
2352,Everybody Loves Raymond,4,7.6
2353,Everybody Loves Raymond,4,7.9
2354,Everybody Loves Raymond,4,7.9
2355,Everybody Loves Raymond,4,7.4
2356,Everybody Loves Raymond,4,7.4
2357,Everybody Loves Raymond,4,8.3
2358,Everybody Loves Raymond,4,8.2
2359,Everybody Loves Raymond,4,7.8
2360,Everybody Loves Raymond,4,8.6
2361,Everybody Loves Raymond,4,7.3
2362,Everybody Loves Raymond,4,7.4
2363,Everybody Loves Raymond,4,7.8
2364,Everybody Loves Raymond,4,8.4
2365,Everybody Loves Raymond,4,7.5
2366,Everybody Loves Raymond,4,8.3
2367,Everybody Loves Raymond,5,8.4
2368,Everybody Loves Raymond,5,8.2
2369,Everybody Loves Raymond,5,8.5
2370,Everybody Loves Raymond,5,8.1
2371,Everybody Loves Raymond,5,7.3
2372,Everybody Loves Raymond,5,7.7
2373,Everybody Loves Raymond,5,7.6
2374,Everybody Loves Raymond,5,7.9
2375,Everybody Loves Raymond,5,8.0
2376,Everybody Loves Raymond,5,7.4
2377,Everybody Loves Raymond,5,7.9
2378,Everybody Loves Raymond,5,7.4
2379,Everybody Loves Raymond,5,7.4
2380,Everybody Loves Raymond,5,8.0
2381,Everybody Loves Raymond,5,7.4
2382,Everybody Loves Raymond,5,7.4
2383,Everybody Loves Raymond,5,7.9
2384,Everybody Loves Raymond,5,8.1
2385,Everybody Loves Raymond,5,8.9
2386,Everybody Loves Raymond,5,7.3
